Name;URL
BANCO DE DESARROLLO DE AMERICA LATINA;https://www.caf.com/
Banco de la República;http://www.banrep.gov.co/
Banco Santander S.A.;http://www.santander.com.co/
Bangor University;http://www.bangor.ac.uk
Bar-Ilan University;http://www.biu.ac.il
Baranovichi State University;https://www.barsu.by/en/
Barcelona Global Experience;https://bgeabroad.com/
Barcelona Graduate School of Economics;https://www.barcelonagse.eu/
Bard College;https://www.bard.edu/
Bard College at Simon’s Rock: The Early College;
Bard College Berlin;http://www.berlin.bard.edu/
Bard Early Colleges ;
Barnard College;https://barnard.edu/
Barry University;https://www.barry.edu/
Baruch College, City University of New York;http://www.baruch.cuny.edu/
Bates College;https://www.bates.edu/
Bath Spa University;http://www.bathspa.ac.uk
Bauman Moscow State Technical University;http://www.bmstu.ru/
Baylor College of Medicine;http://www.bcm.edu
BBA Legal;
Begin Group;https://begingroup.com/en/
Beihang University;http://www.buaa.edu.cn/
Beijing China and Colombia Football Culture Communication Co. LTD;
Beijing Foreign Studies University (BFSU);http://www.bfsu.edu.cn
Beijing Forestry University;http://www.bjfu.edu.cn
Beijing Institute of Education;http://www.bjie.ac.cn
Beijing Institute of Technology;http://www.bit.edu.cn
Beijing International Studies University;http://www.bisu.edu.cn
Beijing Jiaotong University;http://www.njtu.edu.cn/
Beijing Language and Culture University;http://www.blcu.edu.cn
Beijing Normal University;http://www.bnu.edu.cn
Beijing Sport University;http://en.bsu.edu.cn/
Beijing Technology and Business University;http://www.btbu.edu.cn
Beijing Union University;http://www.buu.edu.cn
Beijing University of Technology;http://www.bjut.edu.cn/
Belarusian State University;http://www.bsu.by/
Ben-Gurion University of the Negev;http://www.bgu.ac.il
Bentley University;http://www.bentley.edu
Bergen Arkitekt Skole;http://www.bergenarkitektskole.no/
Berklee College of Music;http://www.berklee.edu
Berliner Hochschule für Technik;https://www.bht-berlin.de/
Bezalel Academy of Arts and Design;http://www.bezalel.ac.il
Bezmialem Vakif University;https://bezmialem.edu.tr/en/Pages/Index.aspx
BI Handelshøyskolen;http://www.bi.no
Binghamton University, The State University of New York;http://www.binghamton.edu/
Bio D S.A.;http://www.biodsa.com.co/index.php/contacts/
Biotechnology Business Institute;https://www.bbibarcelona.com/
Biotecnologia y Genetica SAS-Biotecgen SAS;https://www.biotecgen.com.co/
Birkbeck College, University of London;http://www.bbk.ac.uk/main
Birmingham City University;http://www.bcu.ac.uk
Black Mountains College ;https://blackmountainscollege.uk/
BMI;http://bmiglobaled.com/country/colombia/
Bocconi University;
Boise State University;http://www.boisestate.edu/
Bond University;http://www.bond.edu.au
Boston College;http://www.bc.edu
Boston University;http://www.bu.edu/
Bournemouth University;http://www.bournemouth.ac.uk
Bowdoin College;https://www.bowdoin.edu/
BPP University;
BRAC University ;
Bradley University;http://www.bradley.edu/
Brandeis University;http://www.brandeis.edu/
Brandenburgische Technische Universität Cottbus-Senftenberg;http://www.b-tu.de/
Brazilian Consulate in Bucaramanga;https://consuladobrasilbga.jimdo.com/
Bridgewater State University;http://www.bridgew.edu/
Brigham Young University;http://www.byu.edu
Brighton and Sussex Medical School;https://www.bsms.ac.uk/
British Columbia Institute of Technology;http://www.bcit.ca/
BRITISH COUNCIL;https://www.britishcouncil.co/
Brown University;http://www.brown.edu/
Brunel University London;http://www.brunel.ac.uk
Bucerius Law School - Hochschule für Rechtswissenschaft;http://www.law-school.de
Bucknell University;https://www.bucknell.edu/
Budapesti Corvinus Egyetem;http://www.uni-corvinus.hu
Buenos Aires International Students ;
Butler University;http://www.butler.edu
C.I. Toyota Tsusho de Colombia S.A.;
Cairo University;http://www.cu.edu.eg/
Caja de Compensación Familiar CAFAM;https://www.cafam.com.co/
Caja promotora de vivienda militar y de policía ;
CALDO Consortium;http://caldo.ca/
California Institute of Technology;http://www.caltech.edu/
California Polytechnic State University;http://www.calpoly.edu/
California State Polytechnic University, Pomona;https://www.cpp.edu/
California State University, Chico;http://www.csuchico.edu/
California State University, Dominguez Hills;http://www.csudh.edu/
California State University, Fullerton;http://www.fullerton.edu/
Cámara de Comercio de Bogotá;
Cámara de Comercio del Chocó;https://www.camarachoco.org.co/
Cámara de Comercio Italiana para Colombia;https://www.ccicolombia.com/
Cámara de Comercio Multilateral Colombo-Antillana de Integración y Turismo;
Cámara Minera del Perú;https://camiper.com/
Camões - Instituto da Cooperação e da Língua;http://www.instituto-camoes.pt/
Campus France;https://www.campusfrance.org/fr
Campus Iberus;http://www.campusiberus.es/
Campus Iberus;http://www.campusiberus.es/
Cancillería;
Cancilleria del Ecuador en Colombia;https://www.cancilleria.gob.ec/#
Cardiff University;http://www.cardiff.ac.uk/
Carleton University;http://www.carleton.ca
Carnegie Council for Ethics in International Affairs;https://www.carnegiecouncil.org/
Carnegie Mellon University;http://www.cmu.edu/
CasaLuker S.A.;
Case Western Reserve University;http://www.case.edu/
Cass Business School - City, University of London;
CATAPULT;https://catapult.org.uk/
Cellebrite Mobile Synchro;http://www.cellebrite.com/
CEMS, The Global Alliance in Management Education;
Center for Transnational Legal Studies (Georgetown);http://www.ctls.georgetown.edu/
Central European University;
Central Saint Martins;http://www.arts.ac.uk/csm/
Central South University;http://www.csu.edu.cn/
Central Washington University;http://www.cwu.edu
CentraleSupélec;http://www.centralesupelec.fr/
Centre de coopération internationale en recherche agronomique;
Centre des Etudes Supérieures Industrielles;https://lyon.cesi.fr/
Centre for International Cooperation in Education;https://www.studyin.cz/
Centre for Nineteenth-Century Studies International;https://www.durham.ac.uk/research/institutes-and-centres/nineteenth-century-studies/
Centre National de la Recherche Scientifique CNRS;
Centre of Asia-Pacific Excellence;https://cape.org.nz/
Centro Agronomico Tropical de Investigacion y Enseñanza (CATIE);https://www.catie.ac.cr/
Centro Brasileiro de Pesquisas Físicas;http://portal.cbpf.br/
Centro Colombo Americano;http://www.colombobogota.edu.co/page/nuestra-oficina
Centro de Desarrollo Tecnológico de la Esmeralda - CDTEC;
Centro de diseño, cine y televisión;https://www3.centro.edu.mx/
Centro de Estudios sobre la Enseñanza y el Aprendizaje del Derecho;https://ceead.org.mx/
Centro de Investigación en nutrición salud y bienestar VIDARIUM;
Centro de Investigación y Docencia Económicas;http://www.cide.edu/
Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT);http://www.ciemat.es/
Centro Integral de Rehabilitación Colombia;https://fundacioncirec.org/cirec/
Centro Internacional de Agricultura Tropical (CIAT);https://ciat.cgiar.org/
Centro Internacional de Entrenamiento e Investigaciones Médicas (CIDEIM);http://www.cideim.org.co/cideim/
Centro Interuniversitario de Desarrollo ;https://cinda.cl/
Centro Nacional de Investigaciones de Café CENICAFÉ;https://www.cenicafe.org
Centro Paula Souza;https://www.cps.sp.gov.br/
Centro Universitário Barao de Mauá;https://www.baraodemaua.br/
Centro Universitário Christus;https://unichristus.edu.br/
Centro Universitario de Tecnología Digital;https://www.u-tad.com/
Centro Universitario de Tecnología y Arte Digital;https://www.u-tad.com/i
Centro Universitario de Valencia;https://www.unifaa.edu.br/
Centro Universitário Fundação de Ensino Octávio Bastos;https://unifeob.edu.br/
Centro Universitário Fundação de Ensino Octávio Bastos;https://unifeob.edu.br/
Centro Universitário Internacional UNINTER;https://www.uninter.com/
CentroNía;https://www.centronia.org/
Ceské Vysoké Uceni Technické v Praze;http://www.cvut.cz
Chalmers tekniska högskola;http://www.chalmers.se
Chandigarh University;https://www.cuchd.in/
Chang Gung University;http://www.cgu.edu.tw/
Charité – Universitätsmedizin Berlin;https://www.charite.de/
Charles Darwin University;http://www.cdu.edu.au
Chatham House;https://www.chathamhouse.org/
Chemilab SAS;http://www.chemilab.com.co/
Chiang Mai University;http://www.cmu.ac.th
Chiba University;http://www.chiba-u.jp
Chico Research Foundation CFR;http://www.csuchico.edu/
Chilean Higher Education Institutions;https://learnchile.cl/
China Agricultural University;http://www.cau.edu.cn/
China Medical University;http://english.cmu.edu.tw/
China University of Mining and Technology;http://www.cumt.edu.cn/
Chinese Testing International Co., Ltd.;
Chongqing University;http://www.cqu.edu.cn
Chongqing University of Technology;http://www.cqut.edu.cn/
Chonnam National University;http://www.jnu.ac.kr
Christian Aid;https://www.christianaid.org.uk/
Christian-Albrechts-Universität zu Kiel;http://www.uni-kiel.de
Chulalongkorn University;http://www.chula.ac.th
Chung-Ang University;http://www.cau.ac.kr
Chungbuk National University;http://www.chungbuk.ac.kr
Chungnam National University;http://www.cnu.ac.kr
Chuo University;http://www.chuo-u.ac.jp
Ciencia y Tecnología de Fagos Sciphage SAS;https://sciphage.com/
CISabroad;https://www.cisabroad.com/
City College of New York, City University of New York;https://www.ccny.cuny.edu/
City College of San Francisco;https://www.ccsf.edu
City University of Hong Kong;http://www.cityu.edu.hk/
City, University of London;http://www.city.ac.uk
Claremont Graduate University;https://www.cgu.edu/academics/?
Claremont McKenna College;https://www.cmc.edu/
Clark University;http://www.clarku.edu/
Clemson University;http://www.clemson.edu/
Climate Policy Iniative;
Coalición Global  de la enfermedad de Chagas;http://www.coalicionchagas.org/
Cochin University of Science and Technology;http://www.cusat.ac.in
Codensa S.A. E.S.P ;
Coil Consulting;http://www.coilconsult.com/
Colby College;http://www.colby.edu/
COLCIENCIAS;http://www.colciencias.gov.co/
Colegio Colombiano de Psicólogos;
Colegio de Estudios Superiores de Administración;http://www.cesa.edu.co
Colegio en Alta Dirección Empresarial;http://www.cadem.edu.mx
Colegio Gimnasio Campestre Reino Británico;
Colegio Internacional de Paraguay;http://www.inter.edu.py/
Colegio Jurista;http://www.colegiojurista.com/
Colegio Nuevo Cambridge;
Colegio Nuevo Cambridge;
Colegio Todos los Santos;http://www.tls.edu.ar/
COLFUTURO;https://www.colfuturo.org/
Colgate University;https://www.colgate.edu/
Collège de France;https://www.college-de-france.fr/
College of William and Mary;http://www.wm.edu/
Cologne Business School;http://www.cbs-edu.de/
Colombia Challenge your Knowledge;http://www.challengeyourknowledge.edu.co/
Colombia Diversa;https://colombiadiversa.org/
Colorado School of Mines;http://www.mines.edu
Colorado State University;http://www.colostate.edu
Colsubsidio;
Columbia University in the City of New York;http://www.columbia.edu
Columbia University Press;https://cup.columbia.edu/contact
Comisión Fulbright;http://fulbright.org/
Commission des Titres d'Ingénieur;https://www.cti-commission.fr/en/
Commission Francaise pour L'UNESCO-FORM;http://www.delegfrance-unesco.org/
Community Works;https://communityworks.com.au/
Computer Modeling Group;
Concordia University;http://www.concordia.ca
Conference of Rectors and Principals of Quebec Universities (CREPUQ);http://www.crepuq.qc.ca/
Consejo Colombiano de Construcción Sostenible (CCCS);https://www.cccs.org.co/wp/
Consejo Profesional de Ingeniería Química de Colombia (CPIQ);https://www.cpiq.gov.co/
Consejo Profesional Nacional de Arquitectura y sus Profesiones Auxiliares;
Consejo Superior de Investigaciones Científicas;
Conservatori  Liceu;http://www.conservatori-liceu.es
Consulado de Colombia en Auckland;https://auckland.consulado.gov.co/
Contraloría Departamental de Casanare;http://www.contraloriacasanare.gov.co/
Cornell University;http://www.cornell.edu/
Corpogen;http://www.corpogen.org/
Corporación Acción Verde Planeta;http://accionverde.co/
Corporación Ambiental La Pedregoza;http://www.pedregoza.org/
Corporación Andina de Fomento;https://www.caf.com/es/paises/colombia/
Corporación Caribe Afirmativo;
Corporación Colombiana de Investigación Agropecuaria AGROSAVIA;
CORPORACIÓN COLOMBIANA DE PADRES Y MADRES – RED PAPAZ;
Corporación Convivencia Productiva;http://www.convivenciaproductiva.org/
Corporación Geoambiental Terrae;
Corporación Manos Visibles;
Corporación Nuevos Rumbos;
Corporación para estudios en Francia;
Corporación Salud UN;
Corporación Suyay 3D;https://suyay.co/
Corporación Transparencia por Colombia;
Corporacion Universitaria Minuto de Dios;http://www.uniminuto.edu/
Corte Interamericana de Derechos Humanos;http://www.corteidh.or.cr/
Council on Education for Public Health;https://ceph.org/
Coventry University;http://www.coventry.ac.uk
CQUniversity;http://www.cqu.edu.au
Cracow University of Economics;http://www.uek.krakow.pl/en
Cranfield University;http://www.cranfield.ac.uk
Credicorp Capital Colombia;https://www.credicorpcapital.com/Paginas/NHome.aspx
Creighton University;http://www2.creighton.edu
CSIRO Centre for Earth Observation;https://www.csiro.au/
Çukurova Üniversitesi;http://www.cu.edu.tr
Curtin University;http://www.curtin.edu.au
CY Cergy Paris Université;https://www.u-cergy.fr/en/international-office.html
CYPE Ingenieros S.A.;http://www.cype.com
Czech Technical University in Prague;https://www.cvut.cz/en
DAAD - Deutscher Akademischer Austauschdienst;https://www.daad.de/
Daegu Technopark;https://www.ttp.org/
Dalhousie University;http://www.dal.ca
Dalian University of Technology;http://www.dlut.edu.cn/
Dankook University;http://www.dankook.ac.kr
Danmarks Tekniske Universitet;http://www.dtu.dk
Dartmouth College;http://www.dartmouth.edu/
Davidson College;https://www.davidson.edu/
De Montfort University;http://www.dmu.ac.uk
Deakin University;http://www.deakin.edu.au
Decisiones logísitica S.A.S;
Defensoría del Pueblo;https://www.defensoria.gov.co/
DELTA;https://es.delta.com/home/
Departamento Nacional de Planeación;https://www.dnp.gov.co/DNPN/Paginas/default.aspx
Department of Veterans Affairs;https://www.va.gov
Det Kongelige Akademi Arkitektur, Design, Konservering;https://kadk.dk/kadk
Det Kongelige Danske Kunstakademi Billedkunstskolerne;http://www.kunstakademiet.dk
Deutsche Forschungsgemeinschaft DFG;http://www.dfg.de/
Deutsches Primatenzentrum (DPZ);http://www.dpz.eu/
Distribuidora DINISSAN;
Docsity;https://www.docsity.com/en/
Doshisha University;http://www.doshisha.ac.jp
Drexel University;http://www.drexel.edu/
Dublin City University;http://www.dcu.ie
Duke University;http://www.duke.edu/
DŮM ZAHRANIČNÍ SPOLUPRÁCE;http://www.dzs.cz
Duquesne University;http://www.duq.edu/
Durham University;http://www.dur.ac.uk
E-takeOff;http://www.e-takeoff.com/
E.Ray Europa GmbH;http://www.e-ray.eu/
EADA Business School (Escuela de Alta Dirección y Administración);http://www.eada.edu/
East China Normal University;http://www.ecnu.edu.cn
East China University of Political Science and Law;http://www.ecupl.edu.cn
East China University of Science and Technology;http://www.ecust.edu.cn/
Eastern Illinois University;http://www.eiu.edu/
Eberhard Karls Universität Tübingen;http://www.uni-tuebingen.de
EBS Business School;https://www.ebs.edu/de/fakultaet/business-school
EBS Law School;https://www.ebs.edu/de/fakultaet/law-school
EBS Universität für Wirtschaft und Recht;http://www.ebs.de
EBV Consulting & Learning;https://ebvconsultores.com/
ECAM Rennes;
Eclosio;
École cantonale d'art de Lausanne;
Ecole Centrale Lille;http://www.ec-lille.fr
Ecole Centrale Lyon;http://www.ec-lyon.fr
Ecole Centrale Marseille;http://www.ec-marseille.fr/
Ecole Centrale Nantes;http://www.ec-nantes.fr
Ecole d'Ingénieurs en Génie des Systèmes Industriels (EIGSI);http://www.eigsi.fr
Ecole d’Ingenieurs Louis de Broglie;http://www.ecole-debroglie.fr
Ecole de Biologie Industrielle;http://www.ebi-edu.com/
École de Communication Visuelle Paris;http://www.ecv.fr/
Ecole de Psychologues Praticiens;https://www.psycho-prat.fr/
École de Technologie Supérieure (ETS);http://www.etsmtl.ca
Ecole des Hautes Etudes Commerciales (HEC) de Montréal;http://www.hec.ca
Ecole des Hautes Etudes en Sciences Sociales;http://www.ehess.fr
Ecole des Mines d'Albi-Carmaux;http://www.enstimac.fr/
Ecole des Mines de Paris;http://www.ensmp.fr
Ecole des Mines de Saint-Etienne;http://www.emse.fr/
École des Ponts ParisTech;http://www.enpc.fr
École nationale d'administration publique;http://www.enap.ca
Ecole Nationale d'Ingénieurs de Tarbes;http://www.enit.fr
Ecole Nationale Supérieure d'Architecture de Grenoble;http://www.grenoble.archi.fr/
Ecole Nationale Supérieure d'Architecture de Lyon;http://www.lyon.archi.fr
Ecole Nationale Supérieure d'Architecture Paris-Val de Seine;http://www.paris-valdeseine.archi.fr/
Ecole Nationale Supérieure d'Ingénieurs (ENSI) de Bourges;http://www.ensi-bourges.fr/
Ecole Nationale Supérieure d'Ingénieurs de Caen (ENSICAEN);http://www.ensicaen.fr/
Ecole Nationale Supérieure de Chimie de Montpellier;http://www.enscm.fr/
Ecole Nationale Supérieure de Chimie de Rennes;http://www.ensc-rennes.fr/
Ecole Nationale Supérieure de l'Electronique et de ses Applications;http://www.ensea.fr
Ecole Nationale Supérieure de Techniques Avancées;http://www.ensta.fr
Ecole Normale Supérieure Paris;http://www.ens.fr
Ecole normale supérieure Paris-Saclay;http://www.ens-cachan.fr
Ecole Polytechnique;http://www.polytechnique.fr/
École Polytechnique de Montréal;http://www.polymtl.ca
École Polytechnique Fédérale (EPF) Lausanne;http://www.epfl.ch
École Polytechnique ParisTech;http://www.paristech.fr/
Ecole pour l'Informatique et les Techniques Avancées (EPITA);http://www.epita.fr/
Ecole publique d’Ingénieurs Centre de Recherche;https://www.ensicaen.fr/
Ecole Supérieure d'Ingénieurs des Travaux de la Construction;https://www.esitc-paris.fr
Ecole Supérieure d'Ingénieurs en Génie Electrique (ESIGELEC);http://www.esigelec.fr
École Superieure de Commerce d'Amiens;https://www.esc-amiens.com/
Ecole Supérieure de Physique et de Chimie Industrielles (ESPCI);http://www.espci.fr/
EDHEC Business School;http://www.edhec.com/
Edinburgh Napier University;http://www.napier.ac.uk
Edith Cowan University;http://www.ecu.edu.au
Educación por Excelencia;https://edexeducationgroup.com/
Education and Migration Services Australia;https://emsaus.com/
Education in Ireland;https://www.educationinireland.com/en/
eduKUDU;https://www.edukudu.com/
Eesti Kunstiakadeemia;http://www.artun.ee
Ehime University;
Eidgenössische Technische Hochschule (ETH) Zürich;http://www.ethz.ch
Ejercito Nacional de Colombia;https://www.ejercito.mil.co/
El Cielo;http://www.elcielorestaurant.com/
El Colegio de México;http://www.colmex.mx/
El Colegio de Sonora;https://www.colson.edu.mx/
El Colegio Mexiquense;http://www5.cmq.edu.mx/index.php/inicio/unidpublicaciones
ELISAVA Escuela Universitaria de Diseño e Ingeniería de Barcelona;http://www.elisava.net
Elon University;https://www.elon.edu/
Embajada de Alemania en Colombia;https://bogota.diplo.de/
Embajada de Argentina en Colombia;https://ecolo.cancilleria.gob.ar/
Embajada de Australia en Colombia;https://colombia.embassy.gov.au/
Embajada de Australia en México;https://mexico.embassy.gov.au/
Embajada de Austria en Colombia;https://www.bmeia.gv.at/en/austrian-embassy-bogota/
Embajada de Bélgica en Colombia;https://colombia.diplomatie.belgium.be/es
Embajada de Brasil en Colombia;http://bogota.itamaraty.gov.br/pt-br/
Embajada de Canadá en Colombia;
Embajada de Colombia en EEUU;http://www.colombiaemb.org/
Embajada de Colombia en Japón;https://japon.embajada.gov.co/
Embajada de Estados Unidos en Colombia;
Embajada de Finlandia en Colombia;https://finlandabroad.fi/web/col/etusivu
Embajada de Francia en Colombia;https://www.diplomatie.gouv.fr/es/
Embajada de Irlanda en Colombia;https://www.dfa.ie/es/embajada-de-irlanda/colombia/
Embajada de Italia en Colombia;https://ambbogota.esteri.it/ambasciata_bogota/it/
Embajada de Jamaica en Colombia;http://embajadadejamaicacol.com/index.html
Embajada de la República de Corea;http://overseas.mofa.go.kr/co-ko/index.do
Embajada de la República Dominicana en Colombia;http://www.embajadardcolombia.gob.do/
Embajada de Mexico en Colombia;https://www.gob.mx/sre
Embajada de Nueva Zelanda en Colombia;https://www.mfat.govt.nz/en/countries-and-regions/latin-america/colombia/new-zealand-embassy/contactfull
Embajada de Portugal en Colombia;
Embajada de Suiza en Colombia;
Embajada de Uruguay en Colombia;
Embajada del Japon en Colombia;http://www.colombia.emb-japan.go.jp/itprtop_es/index.html
Embajada del Reino de los Países Bajos;https://www.paisesbajosytu.nl/su-pais-y-los-paises-bajos/colombia
Embajada del Reino Unido en Colombia;https://www.gov.uk/
Embassy of Israel in Colombia;
Embassy of the Republic of Belarus in the Republic of Colombia;
Embry Riddle Aeronautical University;http://www.erau.edu/
Emory University;http://www.emory.edu
Emporia State University ;https://www.emporia.edu/
Empresa Colombiana de Productos Veterinarios VECOL S.A.;http://www.vecol.com.co/
Enago;
ENSTA Bretagne, École Nationale Supérieure de Techniques Avancées ;http://www.ensta-bretagne.fr/
Eötvös Loránd Tudományegyetem;http://www.elte.hu
Erasmus Universiteit Rotterdam;http://www.eur.nl
Erhvervsakademiet Copenhagen Business;http://www.cphbusiness.dk
Ernst Abbe Fachhochschule Jena;http://www.fh-jena.de
ESCP Europe;http://www.escpeurope.eu/
Escuela Abierta de Desarrollo en Ingeniería y Construcción (EADIC);https://www.eadic.com/
Escuela Bancaria y Comercial de México;https://www.ebc.mx/
Escuela Colombiana de Ingeniería Julio Garavito;http://www.escuelaing.edu.co/
Escuela de Diseño LCI Bogotá;
Escuela de Gastronomía GD S.A.S;https://gatodumas.com.co/bogota/
ESCUELA DE GASTRONOMIA MARIANO MORENO;
Escuela de Postgrados de la Fuerza Aérea Colombiana (EPFAC);https://www.epfac.edu.co/
Escuela Microfusa;https://www.microfusa.com/
Escuela Militar de Cadetes José María Córdova;https://www.esmic.edu.co/
Escuela Naval del Cadetes Almirante Padilla;
Escuela Normal Regional de Especialización de Saltillo;http://enre.sytes.net/home.html
Escuela Politécnica Nacional;http://www.epn.edu.ec/
Escuela Superior de Guerra;http://www.esdegue.mil.co/
Escuela Superior de Música Reina Sofía;
Escuela Superior de Oftalmología Instituto Barraquer;https://www.esoiba.edu.co/
Escuela Superior Politecnica del Litoral;http://www.espol.edu.ec
Escuela Tecnologíca Instituto Técnico Central;http://www.itc.edu.co/
ESME SUDRIA Ecole d'Ingenieurs;
ESSEC Business School;http://www.essec.fr
ESTACA Ecole D'Ingenieurs;https://www.estaca.fr/
Estrategia y Organización, s.a. ;https://www.eosa.com/
Etifor;https://www.etifor.com/en/about/company/
EURASIA HIGHER EDUCATION SUMMIT;https://www.eurieeducationsummit.com/
EURECAT-Centro Tecnológico de Catalunya;
Europa-Universität Viadrina Frankfurt (Oder);http://www.europa-uni.de/
European Union - Latin America and the Caribbean Foundation (EU-LAC);https://eulacfoundation.org/en
European University Institute Florence;http://www.iue.it
Europos Humanitarinis Universitetas;http://www.ehu.lt/
Ewha Womans University;http://www.ewha.ac.kr/
Experiments in Governance and Politics Network EGAP;http://egap.org/
Expocafé S.A (Sociedad Exportadora de Café de las Cooperativas de Caficultores S.A);https://www.expocafe.com/
FAAP - Fundação Armando Álvares Penteado;http://www.faap.br
Fachhochschule Kiel;http://www.fh-kiel.de
Fachhochschule Münster;http://www.fh-muenster.de
Fachhochschule Schmalkalden;http://www.fh-schmalkalden.de
Faculdade de Engenharia de Sorocaba (FACENS);https://www.facens.br/home?l=en
Faculdade IEducare;https://www.fied.edu.br/
Facultad Latinoamericana de Ciencias Sociales Argentina;http://www.flacso.org.ar/
Facultad Latinoamericana de Ciencias Sociales Ecuador;http://www.flacso.org.ec/
Facultad Latinoamericana de Ciencias Sociales México;https://www.flacso.edu.mx/
Fairfax University of America;https://www.fxua.edu/
Fakultas Kesehatan Masyarakat;https://fkm.unhas.ac.id/?lang=en
