Start period,Rank,Relation: ID,Stay opportunity,Status selection,Stay: ID,Institution,Stay: GPA outgoing
First Semester 2022,2,1004,SMILE Exchange-Universidad Politécnica de Madrid-ETSII-Industrial Egineering-Chemical Engineering-Outgoing,Selected,16351,Universidad Politécnica de Madrid,"4,19"
First Semester 2022,3,1519,Exchange Student-Universidad de Alicante-Universidad de los Andes-Outgoing,Rejected,16351,Universidad de Alicante,"4,19"
Second Semester 2018,1,926,Study Abroad-Universidad Carlos III de Madrid-Universidad de los Andes-Outgoing,Selected,2591,Universidad Carlos III de Madrid,"4,42"
Second Semester 2018,2,1000,Exchange Student-IE University MADRID-School of Law-Outgoing,Rejected,2591,IE Universidad,"4,42"
Second Semester 2018,3,921,Exchange Student-Universitat Pompeu Fabra-School of Law-Outgoing,Rejected,2591,Universitat Pompeu Fabra,"4,42"
Second Semester 2022,1,1257,Exchange Student-Tulane University-Universidad de los Andes,Pending,18594,Tulane University,"4,08"
Second Semester 2022,2,188,Exchange Student-Purdue University-Universidad de los Andes-Outgoing,Pending,18594,Purdue University,"4,08"
Inter-semester 2018,1,1100,SURF-Cornell University-Universidad de los Andes-Outgoing,Pending,2808,Cornell University,"4,00"
First Semester 2020,1,842,Exchange Student Undergraduate-University of Sussex-Universidad de los Andes-Outgoing,Rejected,8655,University of Sussex,"3,79"
First Semester 2020,2,119,Exchange Student-Københavns Universitet-Universidad de los Andes-Outgoing,Selected,8655,Københavns Universitet,"3,79"
Second Semester 2019,1,1062,Exchange Student-Fundación ESADE-Universidad Ramón Llull-School of Management-Outgoing,Pending,7650,Universitat Ramon Llull,"3,79"
Second Semester 2019,2,926,Study Abroad-Universidad Carlos III de Madrid-Universidad de los Andes-Outgoing,Pending,7650,Universidad Carlos III de Madrid,"3,79"
Second Semester 2019,3,953,Exchange Student-University of San Diego-School of Management-Outgoing,Pending,7650,University of San Diego,"3,79"
Second Semester 2020,1,652,"Exchange Student-University of Technology, Sydney-Universidad de los Andes-Outgoing",Rejected,11882,University of Technology Sydney,"4,55"
Second Semester 2021,2,747,Exchange Student-Kungliga Tekniska högskolan (KTH)-School of Engineering-Outgoing,Selected,11882,Kungliga Tekniska högskolan (KTH),"4,55"
Second Semester 2020,3,395,Exchange Student-University of Bristol-Universidad de los Andes-Outgoing,Rejected,11882,University of Bristol,"4,55"
First Semester 2019,1,837,Exchange Student-University College London-Universidad de los Andes-Outgoing,Rejected,3637,University College London,"4,49"
First Semester 2019,2,842,Exchange Student Undergraduate-University of Sussex-Universidad de los Andes-Outgoing,Selected,3637,University of Sussex,"4,49"
First Semester 2019,3,1024,Exchange Student-Technische Universiteit Eindhoven-Department of Industrial Engineering-Outgoing,Rejected,3637,Technische Universiteit Eindhoven,"4,49"
First Semester 2020,1,842,Exchange Student Undergraduate-University of Sussex-Universidad de los Andes-Outgoing,Rejected,8456,University of Sussex,"3,87"
First Semester 2020,2,639,Exchange Student-École de Communication Visuelle-Department of Design-Outgoing,Rejected,8456,École de Communication Visuelle Paris,"3,87"
First Semester 2020,3,89,Exchange Student-Oslo and Akershus University College of Applied Sciences-Universidad de los Andes-Outgoing,Selected,8456,Høgskolen i Oslo og Akershus - Oslo metropolitan University,"3,87"
Inter-semester 2020,1,1100,SURF-Cornell University-Universidad de los Andes-Outgoing,Selected,12579,Cornell University,"4,21"
Inter-semester 2020,2,1100,SURF-Cornell University-Universidad de los Andes-Outgoing,Rejected,12579,Cornell University,"4,21"
First Semester 2020,1,136,SMILE-Exchange Student-Lunds Universitet-School of Engineering-Outgoing,Rejected,8692,Lunds universitet,"4,17"
First Semester 2020,2,747,Exchange Student-Kungliga Tekniska högskolan (KTH)-School of Engineering-Outgoing,Selected,8692,Kungliga Tekniska högskolan (KTH),"4,17"
Second Semester 2018,1,383,Exchange Student-Université Libre de Bruxelles-School of Social Sciences-Outgoing,Selected,2450,Université Libre de Bruxelles,"4,06"
Second Semester 2020,1,2422,CINDA-Pontificia Universidad Católica de Valparaíso-Universidad de los Andes-Outgoing,Rejected,12001,Pontificia Universidad Católica de Valparaíso,"4,16"
Second Semester 2020,2,2480,CINDA-Universidad Austral de Chile-Uniandes de los Andes-Outgoing,Selected,12001,Universidad Austral de Chile,"4,16"
Second Semester 2020,3,1277,CINDA-Universidad de los Andes-Outgoing,Rejected,12001,Universidade Estadual de Campinas (UNICAMP),"4,16"
First Semester 2020,1,2490,CINDA-Universidad de Talca-Universidad de los Andes-Outgoing,Pending,14238,Universidad de Talca,"4,19"
First Semester 2020,2,2480,CINDA-Universidad Austral de Chile-Uniandes de los Andes-Outgoing,Pending,14238,Universidad Austral de Chile,"4,19"
First Semester 2020,3,271,Exchange Student-Universidad de San Andrés-Universidad de los Andes-Outgoing,Pending,14238,Universidad de San Andrés,"4,19"
Second Semester 2022,1,2920,Double Degree-Ecole Central Nantes-Digital Sciences for Life Sciences and Healthcare-School of Engineering-Outgoing,Selected,17352,Ecole Centrale Nantes,"4,12"
Second Semester 2022,2,4200,Double Degree-Ecole des Mines de Saint-Etienne-ICM-School of Engineering-Outgoing,Rejected,17352,Ecole des Mines de Saint-Etienne,"4,12"
First Semester 2019,1,1000,Exchange Student-IE University MADRID-School of Law-Outgoing,Selected,3614,IE Universidad,"4,49"
First Semester 2019,2,926,Study Abroad-Universidad Carlos III de Madrid-Universidad de los Andes-Outgoing,Rejected,3614,Universidad Carlos III de Madrid,"4,49"
First Semester 2019,3,267,Exchange Student-Universidad de Salamanca-Universidad de los Andes-Outgoing,Rejected,3614,Universidad de Salamanca,"4,49"
First Semester 2019,1,1016,Exchange Student-Universität Mannheim-School of Economics-Outgoing,Selected,3640,Universität Mannheim,"4,01"
First Semester 2019,2,78,Exchange Student-Georg-August-Universität Göttingen-School of Economics-Outgoing,Rejected,3640,Georg-August-Universität Göttingen,"4,01"
First Semester 2019,3,1091,Exchange Student-University of Groningen-School of Economics-Outgoing,Rejected,3640,Rijksuniversiteit Groningen,"4,01"
Second Semester 2018,1,998,Exchange Student Undergraduate-IE University-Campus Madrid-School of Management-Outgoing,Rejected,2361,IE Universidad,"4,12"
Second Semester 2018,2,149,Exchange Student-Nova School of Business and Economics-School of Management-Outgoing,Rejected,2361,Universidade Nova de Lisboa,"4,12"
Second Semester 2018,3,665,Exchange Student-FGV-Escola de Administracão de Empresas de São Paulo-School of Management-Outgoing,Selected,2361,Fundação Getulio Vargas,"4,12"
First Semester 2020,1,3315,Virtual Mobility Program-Justus-Liebig-Universitat Giessen-Universidad de los Andes-Outgoing,Selected,14705,Justus-Liebig-Universität Giessen,"4,27"
First Semester 2019,1,207,Exchange Student-Technische Universität München-Universidad de los Andes-Outgoing,Selected,3563,Technische Universität München (TUM),"4,01"
First Semester 2019,2,418,Exchange Student-University of Melbourne-Universidad de los Andes-Outgoing,Rejected,3563,University of Melbourne,"4,01"
First Semester 2019,3,199,Exchange Student-Seoul National University-Universidad de los Andes-Outgoing,Rejected,3563,Seoul National University,"4,01"
First Semester 2020,1,207,Exchange Student-Technische Universität München-Universidad de los Andes-Outgoing,Selected,8463,Technische Universität München (TUM),"3,94"
First Semester 2020,2,74,Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,Rejected,8463,Freie Universität Berlin,"3,94"
First Semester 2020,3,652,"Exchange Student-University of Technology, Sydney-Universidad de los Andes-Outgoing",Rejected,8463,University of Technology Sydney,"3,94"
Second Semester 2021,1,1759,Exchange Student-Chung-Ang University-Universidad de los Andes - Outgoing,Rejected,15234,Chung-Ang University,"3,59"
Second Semester 2021,2,747,Exchange Student-Kungliga Tekniska högskolan (KTH)-School of Engineering-Outgoing,Rejected,15234,Kungliga Tekniska högskolan (KTH),"3,59"
Second Semester 2018,1,16,Exchange Student-Audencia Nantes-School of Management-Outgoing,Selected,2564,Audencia Business School,"3,87"
Second Semester 2018,2,566,Exchange Student-KEDGE BS-Marseille-School of Management-Outgoing,Rejected,2564,Universidad de Investigación de Tecnología Experimental YACHAY,"3,87"
Second Semester 2018,3,211,Exchange Student Undergraduate-Toulouse Business School-School of Management-Outgoing,Rejected,2564,TOULOUSE BUSINESS SCHOOL,"3,87"
Second Semester 2020,1,486,Double degree-Toulouse Business School-School of Management-Outgoing,Selected,13023,TOULOUSE BUSINESS SCHOOL,"4,00"
Second Semester 2019,1,13,Exchange Student-Aston University-School of Management-Outgoing,Rejected,7720,Aston University,"3,91"
Second Semester 2019,2,51,Exchange Student-Ecole des Hautes Etudes Commerciales (HEC) de Montréal-School of Management-Outgoing,Rejected,7720,Ecole des Hautes Etudes Commerciales (HEC) de Montréal,"3,91"
Second Semester 2019,3,538,Exchange Student-Universität Mannheim-School of Management-Outgoing,Rejected,7720,Universität Mannheim,"3,91"
Second Semester 2019,1,13,Exchange Student-Aston University-School of Management-Outgoing,Rejected,7720,Aston University,"3,91"
Second Semester 2019,2,1430,Exchange Student-McGill University-School of Management-Outgoing,Rejected,7720,McGill University,"3,91"
Second Semester 2019,3,531,Exchange Student-Kühne Logistics University-School of Management-Outgoing,Selected,7720,Kühne Logistics University,"3,91"
Second Semester 2022,1,1759,Exchange Student-Chung-Ang University-Universidad de los Andes - Outgoing,Rejected,18385,Chung-Ang University,"3,61"
Second Semester 2022,2,1529,Exchange Student-ETS-Universidad de los Andes - Outgoing,Selected,18385,École de Technologie Supérieure (ETS),"3,61"
First Semester 2021,1,1381,Exchange Student-University of New South Wales-Universidad de los Andes-Outgoing,Rejected,13554,University of New South Wales,"4,03"
First Semester 2021,2,153,Exchange Student-Politecnico di Milano-Department of Architecture-Outgoing,Rejected,13554,Politecnico di Milano,"4,03"
First Semester 2021,3,1241,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Architecture-Outgoing,Rejected,13554,Universidade de Lisboa,"4,03"
Second Semester 2021,1,191,Exchange Student Undergraduate-Queensland University of Technology-Universidad de los Andes-Outgoing,Selected,13554,Queensland University of Technology,"4,03"
First Semester 2021,2,1241,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Architecture-Outgoing,Rejected,13554,Universidade de Lisboa,"4,03"
First Semester 2021,3,3135,Exchange Student-Universidad de Granada-Universidad de los Andes-Outgoing,Rejected,13554,Universidad de Granada,"4,03"
First Semester 2019,1,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Selected,3641,Université de Strasbourg,"4,03"
First Semester 2019,2,830,"Exchange Student-Northumbria University, Newcastle-Universidad de los Andes-Outgoing",Rejected,3641,"Northumbria University, Newcastle","4,03"
First Semester 2019,3,1051,Exchange Student-Université de Bordeaux-School of Economics-School of Social Sciences-School of Law-Incoming,Rejected,3641,Université de Bordeaux,"4,03"
First Semester 2021,1,1245,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Civil Engineering-Outgoing,Rejected,13523,Universidade de Lisboa,"3,68"
First Semester 2021,2,1754,Exchange student-Aalborg Universitet-Universidad de los Andes-Outgoing,Rejected,13523,Aalborg Universitet,"3,68"
First Semester 2021,3,762,SMILE Exchange Student-Universidade do Porto-School of Engineering-Outgoing,Rejected,13523,Universidade do Porto,"3,68"
First Semester 2021,1,1245,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Civil Engineering-Outgoing,Selected,13523,Universidade de Lisboa,"3,68"
First Semester 2021,2,1754,Exchange student-Aalborg Universitet-Universidad de los Andes-Outgoing,Rejected,13523,Aalborg Universitet,"3,68"
First Semester 2021,3,762,SMILE Exchange Student-Universidade do Porto-School of Engineering-Outgoing,Rejected,13523,Universidade do Porto,"3,68"
Inter-semester 2018,1,1023,SURF-Purdue University-Universidad de los Andes-Outgoing,Selected,2625,Purdue University,
Inter-semester 2019,1,,,Pending,8150,Cornell University,"4,59"
Second Semester 2018,1,862,Exchange Student Undergraduate-Université Jean Moulin Lyon 3-Universidad de los Andes-Outgoing,Cancelled,2575,Université Jean Moulin Lyon 3,"3,90"
Second Semester 2018,2,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Rejected,2575,Université de Strasbourg,"3,90"
Second Semester 2018,3,564,Exchange Student-KEDGE BS-Bourdeaux-School of Management-Outgoing,Rejected,2575,Universidad de Investigación de Tecnología Experimental YACHAY,"3,90"
Second Semester 2019,1,862,Exchange Student Undergraduate-Université Jean Moulin Lyon 3-Universidad de los Andes-Outgoing,Selected,7734,Université Jean Moulin Lyon 3,"3,74"
Second Semester 2019,2,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Rejected,7734,Université de Strasbourg,"3,74"
Second Semester 2019,3,596,Exchange Student-Université Toulouse 1 Capitole-School of Economics-Outgoing,Rejected,7734,Université Toulouse 1 Capitole,"3,74"
First Semester 2021,1,395,Exchange Student-University of Bristol-Universidad de los Andes-Outgoing,Rejected,13524,University of Bristol,"4,09"
First Semester 2021,2,842,Exchange Student Undergraduate-University of Sussex-Universidad de los Andes-Outgoing,Rejected,13524,University of Sussex,"4,09"
First Semester 2021,3,1014,Exchange Student-Erasmus Universiteit Rotterdam-School of Economics-Outgoing,Rejected,13524,Erasmus Universiteit Rotterdam,"4,09"
First Semester 2021,1,395,Exchange Student-University of Bristol-Universidad de los Andes-Outgoing,Selected,13524,University of Bristol,"4,09"
First Semester 2021,2,1014,Exchange Student-Erasmus Universiteit Rotterdam-School of Economics-Outgoing,Rejected,13524,Erasmus Universiteit Rotterdam,"4,09"
First Semester 2021,3,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Rejected,13524,Université de Strasbourg,"4,09"
First Semester 2019,1,1305,Exchange Student-Università Commerciale 'Luigi Bocconi' di Milano-School of Management-Outgoing,Rejected,3675,Università Commerciale 'Luigi Bocconi' di Milano,"4,02"
First Semester 2019,2,149,Exchange Student-Nova School of Business and Economics-School of Management-Outgoing,Selected,3675,Universidade Nova de Lisboa,"4,02"
First Semester 2019,3,62,Exchange Student Undergraduate-ESSEC Business School-School of Management-Outgoing,Rejected,3675,ESSEC Business School,"4,02"
Inter-semester 2022,1,1023,SURF-Purdue University-Universidad de los Andes-Outgoing,Rejected,19762,Purdue University,"4,17"
Inter-semester 2022,1,1337,SURF-Vanderbilt University-Universidad de los Andes-Outgoing,Pending,19926,Vanderbilt University,"4,17"
Inter-semester 2022,2,1100,SURF-Cornell University-Universidad de los Andes-Outgoing,Pending,19926,Cornell University,"4,17"
Second Semester 2019,1,145,Exchange Student-Nanzan University-Universidad de los Andes-Outgoing,Pending,8207,Nanzan University,
Second Semester 2018,1,510,Exchange Student-EBS Law School-School of Law- Outgoing,Rejected,2381,EBS Universität für Wirtschaft und Recht,"4,52"
Second Semester 2018,2,544,Exchange Student Undergraduate-Universität Mannheim-School of Law-Outgoing,Selected,2381,Universität Mannheim,"4,52"
Second Semester 2018,3,996,Exchange Student-Tilburg University-School of Law-Outgoing,Rejected,2381,Tilburg University,"4,52"
First Semester 2019,1,665,Exchange Student-FGV-Escola de Administracão de Empresas de São Paulo-School of Management-Outgoing,Selected,3530,Fundação Getulio Vargas,"3,89"
First Semester 2019,2,51,Exchange Student-Ecole des Hautes Etudes Commerciales (HEC) de Montréal-School of Management-Outgoing,Rejected,3530,Ecole des Hautes Etudes Commerciales (HEC) de Montréal,"3,89"
First Semester 2019,3,671,BORRAR-Exchange Student-Pontificia Universidade Católica do Rio de Janerio-Universidad de los Andes-Outgoing,Rejected,3530,Pontificia Universidade Católica do Rio de Janeiro,"3,89"
Second Semester 2018,1,267,Exchange Student-Universidad de Salamanca-Universidad de los Andes-Outgoing,Pending,2562,Universidad de Salamanca,"3,93"
Second Semester 2018,2,274,Exchange Student-Universidad de Santiago de Compostela-Universidad de los Andes-Outgoing,Pending,2562,Universidad de Santiago de Compostela,"3,93"
First Semester 2019,1,248,Exchange Student-Universidad de Chile-School of Engineering-Outgoing,Selected,3478,Universidad de Chile,"3,63"
First Semester 2019,2,874,Exchange Student-Universidad Adolfo Ibáñez-School of Engineering-Outgoing,Rejected,3478,Universidad Adolfo Ibáñez,"3,63"
First Semester 2019,3,926,Study Abroad-Universidad Carlos III de Madrid-Universidad de los Andes-Outgoing,Rejected,3478,Universidad Carlos III de Madrid,"3,63"
Second Semester 2021,1,1759,Exchange Student-Chung-Ang University-Universidad de los Andes - Outgoing,Rejected,15140,Chung-Ang University,"3,77"
Second Semester 2021,2,1661,Exchange Student Undergraduate-Université Grenoble Alpes-Universidad de los Andes-Outgoing,Selected,15140,Université Grenoble Alpes,"3,77"
Second Semester 2021,1,1016,Exchange Student-Universität Mannheim-School of Economics-Outgoing,Rejected,15126,Universität Mannheim,"4,38"
Second Semester 2021,2,371,Exchange Student-Université de Strasbourg-School of Economics-Outgoing,Selected,15126,Université de Strasbourg,"4,38"
Second Semester 2018,1,74,Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,Selected,2480,Freie Universität Berlin,"4,18"
Second Semester 2018,1,74,Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,Pending,2836,Freie Universität Berlin,"4,22"
Second Semester 2018,2,207,Exchange Student-Technische Universität München-Universidad de los Andes-Outgoing,Rejected,2480,Technische Universität München (TUM),"4,18"
Second Semester 2018,3,114,Exchange Student-Johannes Gutenberg-Universität Mainz-Universidad de los Andes-Outgoing,Rejected,2480,Johannes Gutenberg-Universität Mainz,"4,18"
First Semester 2020,1,1392,Exchange Student-Universidad Nacional Autónoma de México UNAM-Universidad de los Andes-Outgoing,Selected,8610,Universidad Nacional Autónoma de México,"4,25"
First Semester 2020,2,274,Exchange Student-Universidad de Santiago de Compostela-Universidad de los Andes-Outgoing,Rejected,8610,Universidad de Santiago de Compostela,"4,25"
First Semester 2020,3,1519,Exchange Student-Universidad de Alicante-Universidad de los Andes-Outgoing,Rejected,8610,Universidad de Alicante,"4,25"
Second Semester 2021,1,486,Double degree-Toulouse Business School-School of Management-Outgoing,Rejected,15601,TOULOUSE BUSINESS SCHOOL,"4,19"
First Semester 2021,1,1305,Exchange Student-Università Commerciale 'Luigi Bocconi' di Milano-School of Management-Outgoing,Rejected,13460,Università Commerciale 'Luigi Bocconi' di Milano,"4,10"
First Semester 2021,2,1062,Exchange Student-Fundación ESADE-Universidad Ramón Llull-School of Management-Outgoing,Rejected,13460,Universitat Ramon Llull,"4,10"
First Semester 2021,3,981,Exchange Student-Maastricht University-School of Business and Economics-School of Management-Outgoing,Rejected,13460,Maastricht University,"4,10"
First Semester 2021,1,1305,Exchange Student-Università Commerciale 'Luigi Bocconi' di Milano-School of Management-Outgoing,Rejected,13460,Università Commerciale 'Luigi Bocconi' di Milano,"4,10"
First Semester 2021,2,981,Exchange Student-Maastricht University-School of Business and Economics-School of Management-Outgoing,Selected,13460,Maastricht University,"4,10"
Second Semester 2021,1,1007,SMILE Exchange-Universidad Politécnica de Madrid-ETSI-Biomedical Engineering-Electronic Engineering-Electrical Engineering-Outgoing,Rejected,15236,Universidad Politécnica de Madrid,"3,48"
Second Semester 2020,1,1277,CINDA-Universidad de los Andes-Outgoing,Pending,11515,Universidad de Málaga,"3,99"
Second Semester 2019,1,74,Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,Selected,7778,Freie Universität Berlin,"3,77"
Second Semester 2019,2,541,Exchange Student Undergraduate-Universität Mannheim-School of Social Sciences-Outgoing,Rejected,7778,Universität Mannheim,"3,77"
Second Semester 2019,3,114,Exchange Student-Johannes Gutenberg-Universität Mainz-Universidad de los Andes-Outgoing,Rejected,7778,Johannes Gutenberg-Universität Mainz,"3,77"
First Semester 2020,1,74,Exchange Student Undergraduate-Freie Universität Berlin-Universidad de los Andes-Outgoing,Selected,8500,Freie Universität Berlin,"3,88"
Second Semester 2020,1,1008,SMILE Exchange-Universidad Politécnica de Madrid-ETS-Architecture Department-Outgoing,Pending,11539,Universidad Politécnica de Madrid,"4,15"
Second Semester 2020,2,1241,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Architecture-Outgoing,Pending,11539,Universidade de Lisboa,"4,15"
Second Semester 2020,3,1519,Exchange Student-Universidad de Alicante-Universidad de los Andes-Outgoing,Pending,11539,Universidad de Alicante,"4,15"
First Semester 2020,1,837,Exchange Student-University College London-Universidad de los Andes-Outgoing,Selected,8458,University College London,"4,60"
First Semester 2020,2,395,Exchange Student-University of Bristol-Universidad de los Andes-Outgoing,Rejected,8458,University of Bristol,"4,60"
First Semester 2020,3,842,Exchange Student Undergraduate-University of Sussex-Universidad de los Andes-Outgoing,Rejected,8458,University of Sussex,"4,60"
Second Semester 2021,1,342,Exchange Student-Universitat Politècnica de València-School of Engineering-Outgoing,Rejected,15451,Universitat Politècnica de València,"3,42"
Second Semester 2021,2,1004,SMILE Exchange-Universidad Politécnica de Madrid-ETSII-Industrial Egineering-Chemical Engineering-Outgoing,Selected,15451,Universidad Politécnica de Madrid,"3,42"
Second Semester 2021,3,267,Exchange Student-Universidad de Salamanca-Universidad de los Andes-Outgoing,Rejected,15451,Universidad de Salamanca,"3,42"
Second Semester 2021,1,342,Exchange Student-Universitat Politècnica de València-School of Engineering-Outgoing,Rejected,15049,Universitat Politècnica de València,"4,10"
Second Semester 2021,2,191,Exchange Student Undergraduate-Queensland University of Technology-Universidad de los Andes-Outgoing,Rejected,15049,Queensland University of Technology,"4,10"
Second Semester 2021,3,267,Exchange Student-Universidad de Salamanca-Universidad de los Andes-Outgoing,Rejected,15049,Universidad de Salamanca,"4,10"
First Semester 2022,1,747,Exchange Student-Kungliga Tekniska högskolan (KTH)-School of Engineering-Outgoing,Rejected,16428,Kungliga Tekniska högskolan (KTH),"4,20"
First Semester 2022,2,1010,SMILE Exchange-Universidad Politécnica de Madrid-ETSI-Environmental Engineering-Outgoing,Selected,16428,Universidad Politécnica de Madrid,"4,20"
First Semester 2022,3,1810,SMILE - Norwegian University of Science and Technology - Environmental Engineering - Outgoing,Rejected,16428,Norges Teknisk-Naturvitenskapelige Universitet,"4,20"
First Semester 2019,1,1068,Exchange Student-Victoria University of Wellington-Universidad de Los Andes-Outgoing,Rejected,3564,Victoria University of Wellington,"3,89"
First Semester 2019,2,1241,SMILE-Exchange Student Undergraduate-Instituto Técnico Superior-Universidade Técnica de Lisboa-Department of Architecture-Outgoing,Rejected,3564,Universidade Técnica de Lisboa,"3,89"
First Semester 2019,3,242,Exchange Student Undergraduate-Universidad de Buenos Aires-School of Architechture and Design-Outgoing,Selected,3564,Universidad de Buenos Aires,"3,89"
Inter-semester 2022,1,1100,SURF-Cornell University-Universidad de los Andes-Outgoing,Pending,19967,Cornell University,"4,73"
Inter-semester 2020,1,1749,SURF-North Carolina State University-Universidad de los Andes-Outgoing,Selected,12505,North Carolina State University,"4,33"
First Semester 2020,1,3315,Virtual Mobility Program-Justus-Liebig-Universitat Giessen-Universidad de los Andes-Outgoing,Selected,14697,Justus-Liebig-Universität Giessen,"4,37"
Second Semester 2021,1,486,Double degree-Toulouse Business School-School of Management-Outgoing,Rejected,15586,TOULOUSE BUSINESS SCHOOL,"4,31"
Second Semester 2022,1,,,Pending,20081,Lunds universitet,"4,47"
First Semester 2020,1,3315,Virtual Mobility Program-Justus-Liebig-Universitat Giessen-Universidad de los Andes-Outgoing,Selected,14765,Justus-Liebig-Universität Giessen,"4,41"
First Semester 2020,2,3315,Virtual Mobility Program-Justus-Liebig-Universitat Giessen-Universidad de los Andes-Outgoing,Pending,14765,Justus-Liebig-Universität Giessen,"4,41"
