Name,Direction,Level,Degree programme,External institutions,Internal institutions,Internal institution short name,Active
Exchange Long term-University of Tsukuba-Universidad de los Andes-Outgoing,Outgoing,"Undergraduate / Bachelor, Postgraduate / Master",Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Medicine|| Systems and Computing Engineering Bsc|| Anthropology Minor|| Japanese Language and Culture Minor|| Digital Narrative Bsc,University of Tsukuba,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Agreement -Universidade do Porto-School of Economics-Incoming,Incoming,Postgraduate / Master,Master in Economics,Universidade do Porto,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Master Agreement -Universidade do Porto-School of Economics-Outgoing,Outgoing,Postgraduate / Master,Master in Economics,Universidade do Porto,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Master Agreement-Université Paris Est Créteil-Val de Mame-School of Economics-Incoming,Incoming,Postgraduate / Master,Master in Economics,Université Paris Est Créteil – Val de Marne,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Master Agreement-Université Paris Est Créteil-Val de Mame-School of Economics-Outgoing,Outgoing,Postgraduate / Master,Master in Economics,Université Paris Est Créteil – Val de Marne,"CEDE, Centro de Estudios sobre Seguridad y Drogas - CESED, School of Economics, Universidad de Los Andes","CEDE, CESED, ",Yes
Exchange Master Student - Universidad de Deusto-Department of Political Sciences-Incoming,Incoming,Postgraduate / Master,Master in Political Science,Universidad de Deusto,"International Studies Center, Political Sciences Department, School of Social Sciences, Universidad de Los Andes","CEI, ",Yes
Exchange Master Student - Universidad de Deusto-Department of Political Sciences-Outgoing,Outgoing,Postgraduate / Master,Master in Political Science,Universidad de Deusto,"International Studies Center, Political Sciences Department, School of Social Sciences, Universidad de Los Andes","CEI, ",Yes
Exchange Master Student - Universita degli Studi di Bologna-Universidad de los Andes-Incoming,Incoming,Postgraduate / Master,,Università degli Studi di Bologna 'Alma Mater Studiorum',"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student - Universita degli Studi di Bologna-Universidad de los Andes-Outgoing,Outgoing,Postgraduate / Master,"Executive MBA|| Full - Time MBA|| Global MBA|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Biological Sciences Msc|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Other Master Program|| Master in Classical Studies",Università degli Studi di Bologna 'Alma Mater Studiorum',"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student -Aalborg Universitet-Universidad de los Andes-Outgoing,Outgoing,Postgraduate / Master,Master in Cultural Studies|| Master in International Law|| Master in International Studies,Aalborg Universitet,"Languages and Culture Department, School of Law, School of Social Sciences, Universidad de Los Andes",,Yes
Exchange Master Student -Aix Marseille Université-Physics Department-Incoming,Incoming,Postgraduate / Master,Master in Physics,Aix-Marseille Université,"Physics Department, School of Sciences, Universidad de Los Andes",,Yes
Exchange Master Student -RWTH Aachen University-Mechanical Engineering Deparment-Incoming,Incoming,Postgraduate / Master,Master in Mechanical Engineering|| Master in Petroleum Engineering,Rheinisch-Westfälische Technische Hochschule Aachen,"Mechanical Engineering Department, School of Engineering, Universidad de Los Andes","IMEC, ",Yes
Exchange Master Student -Tulane University-School of Engineering-School of Sciences-Incoming,Incoming,Postgraduate / Master,,Tulane University,"Biomedical Engineering Department, Chemical Engineering Department, Civil and Environmental Engineering Department, Electrical and Electronic Engineering Department, Industrial Engineering Department, Mechanical Engineering Department, School of Engineering, Systems Engineering and Computing Sciences Department, Universidad de Los Andes","IBIO, IQUIM, ICYA, IELE, IIND, IMEC, , ISIS",Yes
Exchange Master Student Medical Clerkship-Vanderbilt University-School of Medicine-Incoming,Incoming,,,Vanderbilt University,"School of Medicine, Universidad de Los Andes",,Yes
Exchange Master Student Medical Clerkship-Vanderbilt University-School of Medicine-Outgoing,Outgoing,,,Vanderbilt University,"School of Medicine, Universidad de Los Andes",,Yes
Exchange Master Student- Centro Regional do Porto Universidade Católica Portuguesa-Incoming,Incoming,Postgraduate / Master,Master in Education|| Master in Psychology,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","Psychology Department, School of Education, School of Social Sciences, Universidad de Los Andes",,Yes
Exchange Master Student- Centro Regional do Porto Universidade Católica Portuguesa-Outgoing,Outgoing,Postgraduate / Master,Master in Education|| Master in Psychology,"Universidade Católica Portuguesa, Universidade Católica Portuguesa - Católica Lisbon Business School & Economics, Universidade Católica Portuguesa - School of Law","Psychology Department, School of Education, School of Social Sciences, Universidad de Los Andes",,Yes
Exchange Master Student- Sígueme Universidad Nacional de Colombia-Universidad de los Andes-Incoming,Incoming,Postgraduate / Master,"Master in Analytical Intelligence for Decision Making|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Other Master Program",Universidad Nacional de Colombia,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student-Aalborg Universitet-Universidad de los Andes-Incoming,Incoming,Postgraduate / Master,"Master in Analytical Intelligence for Decision Making|| Master in Anthropology|| Master in Applied Economics|| Master in Architecture|| Master in Architectures of Information Technology|| Master in Biomedical Engineering|| Master in Business Information Technology|| Master in Chemical Engineering|| Master in Chemistry|| Master in Civil Engineering|| Master in Clinical and Health Psychology|| Master in Computational Biology|| Master in Computing and Systems Engineering|| Master in Cultural Studies|| Master in Design|| Master in Development Management and Practice|| Master in Economics|| Master in Education|| Master in Electrical Engineering|| Master in Electronic and Computer Engineering|| Master in Environmental Engineering|| Master in Environmental Management|| Master in Finance|| Master in Gender|| Master in Geography|| Master in History|| Master in Industrial Engineering|| Master in Information Security|| Master in Intellectual Property|| Master in Interdisciplinary Studies on Development|| Master in International Law|| Master in International Studies|| Master in Journalism|| Master in Law|| Master in Law, Government and Justice Management|| Master in Literature|| Master in Marketing|| Master in Mathematics|| Master in Mathematics Education|| Master in Mechanical Engineering|| Master in Petroleum Engineering|| Master in Philosophy|| Master in Physics|| Master in Political Science|| Master in Private Law|| Master in Processes and Products Design|| Master in Psychology|| Master in Public Health|| Master in Public Law for administrative management|| Master in Public Policy|| Master in Research in Management|| Master in Software Engineering|| Master in Taxatation|| Master in Teaching of Foreign Languages|| Master in Urban and Regional Planning|| Biological Sciences Msc|| Master in Digital Humanities|| Master in Peace Building|| Master in Public Management|| Master in Regulation|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Supply Chain Management|| Master in Technology Innovation Management|| Master in Epidemiology|| Master in Information Engineering|| Master in Biological Sciences|| Master in Strategic Management of Architecture Projects|| Master In Regeneration And Sustainable Development|| Master in Classical Studies|| Master in Sociology",Aalborg Universitet,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management - Executive Education, School of Management - International Affairs, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student-Aalto-Yliopisto University-School of Architecture and Design-Outgoing,Outgoing,Postgraduate / Master,Master in Architecture|| Master in Design,Aalto-yliopisto,"Architecture Department, Design Department, School of Architecture and Design, Universidad de Los Andes",,Yes
Exchange Master Student-Aalto-Yliopisto University-School of Management - Incoming,Incoming,Postgraduate / Master,Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Marketing|| Master in Research in Management|| Part - Time MBA|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Aalto-yliopisto,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Aalto-Yliopisto University-School of Management - Outgoing,Outgoing,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Part - Time MBA|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management,Aalto-yliopisto,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Aix Marseille Université-Physics Department-Outgoing,Outgoing,Postgraduate / Master,Master in Physics,Aix-Marseille Université,"Physics Department, School of Sciences, Universidad de Los Andes",,Yes
Exchange Master Student-Aston University-School of Management-Incoming,Incoming,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Aston University,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Aston University-School of Management-Outgoing,Outgoing,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Aston University,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Athens University of Economics and Business-School of Management - Incoming,Incoming,Postgraduate / Master,,Athens University of Economics and Business,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Athens University of Economics and Business-School of Management - Outgoing,Outgoing,Postgraduate / Master,Full - Time MBA|| Part - Time MBA,Athens University of Economics and Business,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Audencia Nantes-School of Management-Incoming,Incoming,Postgraduate / Master,Full - Time MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Part - Time MBA,Audencia Business School,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Audencia Nantes-School of Management-Incoming,Incoming,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Part - Time MBA|| Master in Supply Chain Management|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Audencia Business School,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Audencia Nantes-School of Management-Outgoing,Outgoing,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Part - Time MBA|| Master in Supply Chain Management|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Audencia Business School,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Brandenburgische Technische Universität-Universidad de los Andes-Incoming,Incoming,Postgraduate / Master,,Brandenburgische Technische Universität Cottbus-Senftenberg,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student-Brandenburgische Technische Universität-Universidad de los Andes-Outgoing,Outgoing,Postgraduate / Master,Master in Clinical and Health Psychology|| Master in Geography|| Master in History|| Master in Journalism|| Master in Literature|| Master in Psychology|| Master in Digital Humanities|| Master in Art History|| Master in Fine Arts|| Master in Movable Cultural Heritage|| Master in Music|| Master in Classical Studies,Brandenburgische Technische Universität Cottbus-Senftenberg,"Anthropology Department, Architecture Department, Art Department, Art History Department, Biological Sciences Department, Biomedical Engineering Department, Campus Management, Careers Center, CEDE, Center for Journalism Studies, Center for Orinoquia Studies, Centro de Estudios sobre Seguridad y Drogas - CESED, Chemical Engineering Department, Chemistry Department, Civil and Environmental Engineering Department, CODS - Centro de Desarrollo Sostenible para América Latina, Conecta-TE, Confucius Institute, Continuing Education Direction, CSC - Shared Service Center, Cultural Center, Dean of Students Office, Design Department, Direction of Admissions and Registration, Direction of Information and Technology Services, Electrical and Electronic Engineering Department, Ethics Center, Finance Direction, Fondo de Profesores y Empleados de la Universidad de los Andes, General Secretary, Geosciences Department, Government School Alberto Lleras Camargo, History Department, Human Resources, Humanities and Literature Department, Industrial Engineering Department, Iniciativa de Sistemas Agroalimentarios, Interdisciplinary Center for Studies of Development (CIDER), Internal Audit, International Studies Center, Japan Center, Languages and Culture Department, Legal Affairs Direction, Library System, Mathematics Department, Mechanical Engineering Department, Music Department, Office of International Affairs, Philosophy Department, Physics Department, Planning Direction, Political Sciences Department, Psychology Department, School of Architecture and Design, School of Arts and Humanities, School of Economics, School of Education, School of Engineering, School of Law, School of Management, School of Management - Executive Education, School of Management - International Affairs, School of Medicine, School of Sciences, School of Social Sciences, Spanish Language Center, Systems Engineering and Computing Sciences Department, UNIANDES - Administrative Units, Universidad de Los Andes, Vice Presidency for Academic Affairs, Vice Presidency for Administration and Finance, Vice Presidency for Development and Alumni, Vice Presidency of Research and Creation","IBIO, CTP, CEDE, CEPER, CEO, CESED, IQUIM, ICYA, CODS, EDCO, CSC, DECA, DSIT, IELE, , GHDO, IIND, CIDER, CEI, IMEC, ISIS",Yes
Exchange Master Student-Centro de Investigación y Docencia Económicas CIDE-Political Sciences Department-Incoming,Incoming,Postgraduate / Master,"Master in Applied Economics|| Master in Economics|| Master in History|| Master in International Law|| Master in International Studies|| Master in Law|| Master in Law, Government and Justice Management|| Master in Political Science|| Master in Private Law|| Master in Public Law for administrative management|| Master in Public Policy",Centro de Investigación y Docencia Económicas,"Government School Alberto Lleras Camargo, History Department, Political Sciences Department, School of Economics, School of Law, School of Social Sciences, Universidad de Los Andes",,Yes
Exchange Master Student-Centro de Investigación y Docencia Económicas CIDE-Political Sciences Department-Outgoing,Outgoing,Postgraduate / Master,"Master in Applied Economics|| Master in Economics|| Master in History|| Master in International Law|| Master in International Studies|| Master in Law|| Master in Law, Government and Justice Management|| Master in Political Science|| Master in Private Law|| Master in Public Law for administrative management|| Master in Public Policy",Centro de Investigación y Docencia Económicas,"Government School Alberto Lleras Camargo, History Department, International Studies Center, Political Sciences Department, School of Economics, School of Law, School of Social Sciences, Universidad de Los Andes",", CEI",Yes
Exchange Master Student-Copenhagen Business School- School of Management-Incoming,Incoming,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Handelshøjskolen i København,"School of Management, Universidad de Los Andes",,Yes
Exchange Master Student-Copenhagen Business School- School of Management-Outgoing,Outgoing,Postgraduate / Master,Executive MBA|| Full - Time MBA|| Global MBA|| Master in Development Management and Practice|| Master in Environmental Management|| Master in Finance|| Master in Marketing|| Master in Research in Management|| Master in Supply Chain Management|| International master in Finance|| Master in Technology Innovation Management|| Master In Regeneration And Sustainable Development,Handelshøjskolen i København,"School of Management, Universidad de Los Andes",,Yes
