Institution: ID,Country,Region 1,Region 2,Continent,City,Name,Institution type,Official Language,Language requirement 1,Language cerf score 1,Language requirement 2,Language cerf score 2,Language requirement 3,Language cerf score 3,Minimum GPA/4
2603,Colombia,South America,Latin America and the Caribbean,South America,Bogota,Asociación Colombiana de Legal Tech ACLET,Partner Company,Spanish,,,,,,,
2990,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Asociación Colombiana de Minería,Non Partner Company,Spanish,,,,,,,
1933,Colombia,South America,Latin America and the Caribbean,South America,Bogota,Asociación Colombo-Francesa de Investigadores,NGO,Spanish,,,,,,,
3101,Colombia,South America,Latin America and the Caribbean,South America,Santander de Quilichao,Asociación de Cabildos Indígenas del Cauca ACIN,Non Partner Company,Spanish,,,,,,,
2873,Colombia,South America,Latin America and the Caribbean,South America,,Asociación de Estudios Coreanos en Colombia,Non Partner University - Potential,Spanish,,,,,,,"2,6"
2114,Dominican Republic,Caribbean,Latin America and the Caribbean,North America,Santo Domingo,Asociación de Rectores del Caribe y las Américas,Consortium,Spanish,,,,,,,
2986,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Asociación Gremial Colombiana para la Experiencia del Cliente,Non Partner Company,Spanish,,,,,,,
3016,Spain,Southern Europe,,Europe,Murcia,Asociación Latinoamericana de Investigaciones en Campañas Electorales,Government,Spanish,,,,,,,
749,United States,Northern America,,North America,Washington,Aspen Network of Development Entrepreneurs (ANDE),Research Center,English,,,,,,,
81,Brazil,South America,Latin America and the Caribbean,South America,São Paulo,Associação Escola da Cidade,Partner University,Portuguese,Portuguese,A1,,,,,"2,6"
2474,United States,Northern America,,North America,Durham,Association of International Education Administrators,"Consortium, NGO",English,,,,,,,
2165,Norway,Northern Europe,,Europe,Oslo,Association of Norwegian Students Abroad,NGO,"Norwegian, Bokmål, Nynorsk, Saami, Lule",,,,,,,
503,United Kingdom,Northern Europe,,Europe,Birmingham,Aston University,Partner University,English,English,B2,,,,,"2,6"
357,Greece,Southern Europe,,Europe,Athens,Athens University of Economics and Business,Partner University,Greek,,,,,,,"2,6"
1248,United States,Northern America,,North America,Miami,Atlantis University,partner university,English,,,,,,,"2,6"
1534,United States,Northern America,,North America,Auburn,Auburn University,partner university,English,,,,,,,"2,6"
1971,New Zealand,Australia and New Zealand,,Oceania,Auckland,"Auckland Tourism, Events and Economic Development",NGO,"English, Māori language",,,,,,,
1310,New Zealand,Australia and New Zealand,,Oceania,Auckland,Auckland University of Technology,Partner University,"English, Māori language",English,B2,,,,,"2,5"
244,France,Western Europe,,Europe,Nantes,Audencia Business School,Partner University,French,,,,,,,"2,6"
2576,Australia,Australia and New Zealand,,Oceania,,Australian Conservation Foundation,Non Partner University - Potential,English,,,,,,,"2,6"
62,Australia,Australia and New Zealand,,Oceania,Canberra,Australian National University,Partner University,English,English,B2,,,,,"2,6"
3095,Mexico,Central America,Latin America and the Caribbean,North America,Campeche,Autoridad del Patrimonio Cultural del Estado de Campeche,Government,Spanish,,,,,,,
3109,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,AVAL DIGITAL LAB,Non Partner Company,Spanish,,,,,,,
2620,Colombia,South America,Latin America and the Caribbean,South America,Pereira,AVOFRUIT S.A.S. BIC,Partner Company,Spanish,,,,,,,
534,United States,Northern America,,North America,Wellesley,Babson College,Partner University,English,,,,,,,"2,6"
1317,Germany,Western Europe,,Europe,Stuttgart,Baden Wurttemberg International,Non Partner Company,German,,,,,,,
1535,Pakistan,Southern Asia,,Asia,Multan,Bahauddin Zakariya University,partner university,"Urdu, English",,,,,,,"2,6"
360,India,Southern Asia,,Asia,Varanasi,Banaras Hindu University,partner university,"Hindi, English",,,,,,,"2,6"
1342,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,BANCO DE DESARROLLO DE AMERICA LATINA,Non Partner Company,Spanish,,,,,,,
1820,Colombia,South America,Latin America and the Caribbean,South America,Bogota,Banco de la República,Government,Spanish,,,,,,,
142,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Banco Santander S.A.,Partner Company,Spanish,,,,,,,
886,United Kingdom,Northern Europe,,Europe,Bangor,Bangor University,partner university,English,,,,,,,"2,6"
825,Israel,Western Asia,,Asia,Ramat Gan,Bar-Ilan University,partner university,"Hebrew, Arabic, Modern Hebrew",,,,,,,"2,6"
2658,Belarus,Eastern Europe,,Europe,,Baranovichi State University,Non Partner University - Potential,"Russian, Belarusian",,,,,,,"2,6"
2044,Spain,Southern Europe,,Europe,Barcelona,Barcelona Global Experience,Non Partner Company,Spanish,,,,,,,
1821,Spain,Southern Europe,,Europe,Barcelona,Barcelona Graduate School of Economics,partner university,Spanish,,,,,,,"2,6"
2352,United States,Northern America,,North America,Annandale-on-Hudson,Bard College,Partner University,English,,,,,,,"2,6"
2693,United States,Northern America,,North America,,Bard College at Simon’s Rock: The Early College,Partner University,English,,,,,,,"2,6"
2695,Germany,Western Europe,,Europe,Berlin,Bard College Berlin,Partner University,German,,,,,,,"2,6"
2698,United States,Northern America,,North America,,Bard Early Colleges ,Partner University,English,,,,,,,"2,6"
2353,United States,Northern America,,North America,New York,Barnard College,partner university,English,,,,,,,"2,6"
535,United States,Northern America,,North America,Miami,Barry University,partner university,English,,,,,,,"2,6"
2037,United States,Northern America,,North America,New York City,"Baruch College, City University of New York",partner university,English,,,,,,,"2,6"
2354,United States,Northern America,,North America,Lewiston,Bates College,partner university,English,,,,,,,"2,6"
504,United Kingdom,Northern Europe,,Europe,Bath,Bath Spa University,Partner University,English,English,B2,,,,,3
1185,Russian Federation,Eastern Europe,,Europe,Moscow,Bauman Moscow State Technical University,partner university,Russian,,,,,,,"2,6"
826,United States,Northern America,,North America,Houston,Baylor College of Medicine,partner university,English,,,,,,,"2,6"
1855,Iceland,Northern Europe,,Europe,Reykjavík,BBA Legal,Non Partner Company,Icelandic,,,,,,,
2341,Russian Federation,Eastern Europe,,Europe,Moscow,Begin Group,"Agency, Non Partner Company",Russian,,,,,,,
1783,China,Eastern Asia,,Asia,Beijing,Beihang University,partner university,Standard Chinese,,,,,,,"2,6"
2529,China,Eastern Asia,,Asia,,Beijing China and Colombia Football Culture Communication Co. LTD,Non Partner Company,Standard Chinese,,,,,,,
788,China,Eastern Asia,,Asia,Beijing,Beijing Foreign Studies University (BFSU),partner university,Standard Chinese,,,,,,,"2,6"
789,China,Eastern Asia,,Asia,Beijing,Beijing Forestry University,partner university,Standard Chinese,,,,,,,"2,6"
790,China,Eastern Asia,,Asia,Beijing,Beijing Institute of Education,partner university,Standard Chinese,,,,,,,"2,6"
791,China,Eastern Asia,,Asia,Beijing,Beijing Institute of Technology,partner university,Standard Chinese,,,,,,,"2,6"
792,China,Eastern Asia,,Asia,Beijing,Beijing International Studies University,partner university,Standard Chinese,,,,,,,"2,6"
793,China,Eastern Asia,,Asia,Beijing,Beijing Jiaotong University,partner university,Standard Chinese,,,,,,,"2,6"
794,China,Eastern Asia,,Asia,Beijing,Beijing Language and Culture University,partner university,Standard Chinese,,,,,,,"2,6"
1193,China,Eastern Asia,,Asia,Beijing,Beijing Normal University,partner university,Standard Chinese,,,,,,,"2,6"
1814,China,Eastern Asia,,Asia,Beijing,Beijing Sport University,partner university,Standard Chinese,,,,,,,"2,6"
797,China,Eastern Asia,,Asia,Beijing,Beijing Technology and Business University,partner university,Standard Chinese,,,,,,,"2,6"
798,China,Eastern Asia,,Asia,Beijing,Beijing Union University,partner university,Standard Chinese,,,,,,,"2,6"
2292,China,Eastern Asia,,Asia,Beijing,Beijing University of Technology,partner university,Standard Chinese,,,,,,,"2,6"
1536,Belarus,Eastern Europe,,Europe,Minsk,Belarusian State University,partner university,"Russian, Belarusian",,,,,,,"2,6"
830,Israel,Western Asia,,Asia,Beer Sheva,Ben-Gurion University of the Negev,Non Partner University - Potential,"Hebrew, Arabic, Modern Hebrew",,,,,,,"2,6"
536,United States,Northern America,,North America,Waltham,Bentley University,partner university,English,,,,,,,"2,6"
419,Norway,Northern Europe,,Europe,Bergen,Bergen Arkitekt Skole,partner university,"Norwegian, Bokmål, Nynorsk, Saami, Lule",,,,,,,"2,6"
1023,United States,Northern America,,North America,Boston,Berklee College of Music,partner university,English,,,,,,,"2,6"
1092,Germany,Western Europe,,Europe,Berlin,Berliner Hochschule für Technik,partner university,German,,,,,,,"2,6"
366,Israel,Western Asia,,Asia,Jerusalem,Bezalel Academy of Arts and Design,Partner University,"Hebrew, Arabic, Modern Hebrew",English,B2,,,,,"2,6"
2008,Turkey,Western Asia,,Asia,İstanbul,Bezmialem Vakif University,Non Partner University - Potential,Turkish,,,,,,,"2,6"
420,Norway,Northern Europe,,Europe,Oslo,BI Handelshøyskolen,Partner University,"Norwegian, Bokmål, Nynorsk, Saami, Lule",English,B2,,,,,"2,6"
1242,United States,Northern America,,North America,Vestal,"Binghamton University, The State University of New York",partner university,English,,,,,,,"2,6"
1719,Colombia,South America,Latin America and the Caribbean,South America,Facatativá,Bio D S.A.,"Partner Company, Research Center",Spanish,,,,,,,
1773,Spain,Southern Europe,,Europe,Barcelona,Biotechnology Business Institute,partner university,Spanish,,,,,,,"2,6"
3019,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Biotecnologia y Genetica SAS-Biotecgen SAS,Partner Company,Spanish,,,,,,,
2701,United Kingdom,Northern Europe,,Europe,London,"Birkbeck College, University of London",Partner University,English,,,,,,,"2,6"
505,United Kingdom,Northern Europe,,Europe,Birmingham,Birmingham City University,Partner University,English,,,,,,,"2,6"
2736,United Kingdom,Northern Europe,,Europe,,Black Mountains College ,Non Partner University - Potential,English,,,,,,,"2,6"
1303,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,BMI,Non Partner Company,Spanish,,,,,,,
730,United States,Northern America,,North America,Boise,Boise State University,"GE3, partner university",English,,,,,,,"2,6"
1537,Australia,Australia and New Zealand,,Oceania,Robina,Bond University,partner university,English,,,,,,,"2,6"
537,United States,Northern America,,North America,Chestnut Hill,Boston College,partner university,English,,,,,,,"2,6"
1022,United States,Northern America,,North America,Boston,Boston University,partner university,English,,,,,,,"2,6"
1538,United Kingdom,Northern Europe,,Europe,Poole,Bournemouth University,partner university,English,,,,,,,"2,6"
538,United States,Northern America,,North America,Brunswick,Bowdoin College,partner university,English,,,,,,,"2,6"
1329,United Kingdom,Northern Europe,,Europe,London,BPP University,partner university,English,,,,,,,"2,6"
2705,Bangladesh,Southern Asia,,Asia,,BRAC University,Partner University,Bengali,,,,,,,"2,6"
2066,United States,Northern America,,North America,Peoria,Bradley University,partner university,English,,,,,,,"2,6"
1021,United States,Northern America,,North America,Waltham,Brandeis University,partner university,English,,,,,,,"2,6"
313,Germany,Western Europe,,Europe,Cottbus,Brandenburgische Technische Universität Cottbus-Senftenberg,Partner University,German,English,B1,,,,,"2,6"
2284,Brazil,South America,Latin America and the Caribbean,South America,Bucaramanga,Brazilian Consulate in Bucaramanga,Government,Portuguese,,,,,,,
539,United States,Northern America,,North America,Bridgewater,Bridgewater State University,partner university,English,,,,,,,"2,6"
1020,United States,Northern America,,North America,Provo,Brigham Young University,partner university,English,,,,,,,"2,6"
1795,United Kingdom,Northern Europe,,Europe,Brighton,Brighton and Sussex Medical School,partner university,English,,,,,,,"2,6"
1504,Canada,Northern America,,North America,"Vancouver, Burnaby, Richmond",British Columbia Institute of Technology,partner university,"French, English",,,,,,,"2,6"
1361,United Kingdom,Northern Europe,,Europe,Bogotá,BRITISH COUNCIL,Non Partner Company,English,,,,,,,
540,United States,Northern America,,North America,Providence,Brown University,Partner University,English,,,,,,,"2,6"
874,United Kingdom,Northern Europe,,Europe,Uxbridge,Brunel University London,partner university,English,,,,,,,"2,6"
314,Germany,Western Europe,,Europe,Hamburg,Bucerius Law School - Hochschule für Rechtswissenschaft,Partner University,German,English,B2,,,,,"2,6"
2356,United States,Northern America,,North America,Lewisburg,Bucknell University,partner university,English,,,,,,,"2,6"
2893,Hungary,Eastern Europe,,Europe,Budapest,Budapesti Corvinus Egyetem,CEMS,Hungarian,,,,,,,
1368,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Buenos Aires International Students ,Non Partner Company,Spanish,,,,,,,
1975,United States,Northern America,,North America,Indianapolis,Butler University,partner university,English,,,,,,,"2,6"
1471,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,C.I. Toyota Tsusho de Colombia S.A.,Non Partner Company,Spanish,,,,,,,
1539,Egypt,Northern Africa,,Africa,Cairo,Cairo University,partner university,Modern Standard Arabic,,,,,,,"2,6"
2966,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Caja de Compensación Familiar CAFAM,Non Partner Company,Spanish,,,,,,,
2486,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Caja promotora de vivienda militar y de policía ,Government,Spanish,,,,,,,
1354,Canada,Northern America,,North America,Ottawa,CALDO Consortium,Non Partner Company,"French, English",,,,,,,
541,United States,Northern America,,North America,Pasadena,California Institute of Technology,Partner University,English,,,,,,,"2,6"
1029,United States,Northern America,,North America,San Luis Obispo,California Polytechnic State University,partner university,English,,,,,,,"2,6"
2444,United States,Northern America,,North America,Pomona,"California State Polytechnic University, Pomona",partner university,English,,,,,,,"2,6"
812,United States,Northern America,,North America,Chico,"California State University, Chico",partner university,English,,,,,,,"2,6"
2648,United States,Northern America,,North America,Carson,"California State University, Dominguez Hills",Partner University,English,,,,,,,"2,6"
1038,United States,Northern America,,North America,Fullerton,"California State University, Fullerton",partner university,English,,,,,,,"2,6"
2558,Colombia,South America,Latin America and the Caribbean,South America,,Cámara de Comercio de Bogotá,Government,Spanish,,,,,,,
2865,Colombia,South America,Latin America and the Caribbean,South America,Quibdó,Cámara de Comercio del Chocó,Government,Spanish,,,,,,,
2194,Italy,Southern Europe,,Europe,Bogotá,Cámara de Comercio Italiana para Colombia,Government,Italian,,,,,,,
1948,Colombia,South America,Latin America and the Caribbean,South America,,Cámara de Comercio Multilateral Colombo-Antillana de Integración y Turismo,Government,Spanish,,,,,,,
1922,Peru,South America,Latin America and the Caribbean,South America,Lima,Cámara Minera del Perú,Non Partner University - Non potential,"Spanish, Aymara language, Quechuan languages",,,,,,,"2,6"
433,Portugal,Southern Europe,,Europe,Lisboa,Camões - Instituto da Cooperação e da Língua,Partner University,Portuguese,,,,,,,"2,6"
1431,France,Western Europe,,Europe,Bogotá,Campus France,Government,French,,,,,,,
1424,Spain,Southern Europe,,Europe,Zaragoza,Campus Iberus,partner university,Spanish,,,,,,,"2,6"
1491,Spain,Southern Europe,,Europe,Zaragoza,Campus Iberus,Partner University,Spanish,,,,,,,"2,6"
1426,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Cancillería,Government,Spanish,,,,,,,
2237,Ecuador,South America,Latin America and the Caribbean,South America,Bogotá,Cancilleria del Ecuador en Colombia,Government,Spanish,,,,,,,
956,United Kingdom,Northern Europe,,Europe,Cardiff,Cardiff University,Partner University,English,,,,,,,"2,6"
1040,Canada,Northern America,,North America,Ottawa,Carleton University,partner university,"French, English",,,,,,,"2,6"
2739,United States,Northern America,,North America,New York,Carnegie Council for Ethics in International Affairs,Partner Company,English,,,,,,,
776,United States,Northern America,,North America,Pittsburgh,Carnegie Mellon University,Partner University,English,,,,,,,"2,6"
707,Colombia,South America,Latin America and the Caribbean,South America,Manizales,CasaLuker S.A.,Partner Company,Spanish,,,,,,,
734,United States,Northern America,,North America,Cleveland,Case Western Reserve University,"GE3, partner university",English,,,,,,,"2,6"
872,United Kingdom,Northern Europe,,Europe,London,"Cass Business School - City, University of London",partner university,English,,,,,,,"2,6"
1435,United Kingdom,Northern Europe,,Europe,,CATAPULT,Non Partner Company,English,,,,,,,
367,Israel,Western Asia,,Asia,Petaj Tikva,Cellebrite Mobile Synchro,Partner Company,"Hebrew, Arabic, Modern Hebrew",,,,,,,
2581,France,Western Europe,,Europe,Jouy-en-Josas,"CEMS, The Global Alliance in Management Education",Agency,French,,,,,,,
506,United Kingdom,Northern Europe,,Europe,London,Center for Transnational Legal Studies (Georgetown),Partner University,English,English,B2,,,,,"3,2"
2749,Austria,Western Europe,,Europe,Wien,Central European University,Partner University,German,,,,,,,"2,6"
1254,United Kingdom,Northern Europe,,Europe,London,Central Saint Martins,partner university,English,,,,,,,"2,6"
1540,China,Eastern Asia,,Asia,Changsha,Central South University,partner university,Standard Chinese,,,,,,,"2,6"
542,United States,Northern America,,North America,Ellensburg,Central Washington University,partner university,English,,,,,,,"2,6"
1233,France,Western Europe,,Europe,Gif sur Yvette,CentraleSupélec,partner university,French,,,,,,,"2,6"
2586,France,Western Europe,,Europe,Paris,Centre de coopération internationale en recherche agronomique,Research Center,French,,,,,,,
2777,France,Western Europe,,Europe,Écully,Centre des Etudes Supérieures Industrielles,Non Partner University - Potential,French,,,,,,,"2,6"
2107,Czech Republic,Eastern Europe,,Europe,Prague,Centre for International Cooperation in Education,"Agency, Government","Czech, Slovak",,,,,,,
2874,United Kingdom,Northern Europe,,Europe,Durham,Centre for Nineteenth-Century Studies International,Partner University,English,,,,,,,"2,6"
699,France,Western Europe,,Europe,Paris,Centre National de la Recherche Scientifique CNRS,Research Center,French,,,,,,,
1370,New Zealand,Australia and New Zealand,,Oceania,Auckland,Centre of Asia-Pacific Excellence,partner university,"English, Māori language",,,,,,,"2,6"
222,Costa Rica,Central America,Latin America and the Caribbean,North America,Turrialba,Centro Agronomico Tropical de Investigacion y Enseñanza (CATIE),Partner University,Spanish,,,,,,,"2,6"
82,Brazil,South America,Latin America and the Caribbean,South America,Rio de Janeiro,Centro Brasileiro de Pesquisas Físicas,Research Center,Portuguese,,,,,,,
1432,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Centro Colombo Americano,Government,Spanish,,,,,,,
2439,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Centro de Desarrollo Tecnológico de la Esmeralda - CDTEC,"Non Partner University - Potential, Research Center",Spanish,,,,,,,"2,6"
2265,Mexico,Central America,Latin America and the Caribbean,North America,Ciudad de México,"Centro de diseño, cine y televisión",partner university,Spanish,,,,,,,"2,6"
2921,Mexico,Central America,Latin America and the Caribbean,North America,Monterrey,Centro de Estudios sobre la Enseñanza y el Aprendizaje del Derecho,NGO,Spanish,,,,,,,
2241,Colombia,South America,Latin America and the Caribbean,South America,Medellin,Centro de Investigación en nutrición salud y bienestar VIDARIUM,Research Center,Spanish,,,,,,,
397,Mexico,Central America,Latin America and the Caribbean,North America,Mexico City,Centro de Investigación y Docencia Económicas,Partner University,Spanish,,,,,,,"2,6"
447,Spain,Southern Europe,,Europe,Madrid,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT)",Partner University,Spanish,,,,,,,"2,6"
2631,Colombia,South America,Latin America and the Caribbean,South America,Bogotá,Centro Integral de Rehabilitación Colombia,Funding Agency,Spanish,,,,,,,
221,Colombia,South America,Latin America and the Caribbean,South America,Cali,Centro Internacional de Agricultura Tropical (CIAT),Research Center,Spanish,,,,,,,
750,Colombia,South America,Latin America and the Caribbean,South America,Cali,Centro Internacional de Entrenamiento e Investigaciones Médicas (CIDEIM),Research Center,Spanish,,,,,,,
